,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_explained_variance,split1_test_explained_variance,split2_test_explained_variance,split3_test_explained_variance,split4_test_explained_variance,mean_test_explained_variance,std_test_explained_variance,rank_test_explained_variance
0,10.009950256347656,0.13303045381963202,0.1119903564453125,0.004107277581775962,0.9176330709871909,0.02358225454157567,7,4,100,0.2889874823257521,"{'colsample_bytree': 0.9176330709871909, 'learning_rate': 0.02358225454157567, 'max_depth': 7, 'min_child_weight': 4, 'n_estimators': 100, 'subsample': 0.2889874823257521}",-31.266709550329825,-34.05579671195862,-30.341115542498347,-29.944586661381372,-33.19046387032318,-31.759649878827002,1.604329077532881,24,-42708.185669216095,-42298.02643813917,-15110.616524927416,-19095.45439441144,-37348.534757368514,-31311.806670729962,11821.716697472511,79,0.030256589997204042,0.3377425975830082,0.48236057145607913,0.4575772074823976,0.34272613277633923,0.330131875297523,0.1609752941763334,81
1,22.38342604637146,0.30160077579540895,0.19652647972106935,0.007515842181890507,0.8725474850255501,0.3720850565255234,9,3,100,0.8812112373611708,"{'colsample_bytree': 0.8725474850255501, 'learning_rate': 0.3720850565255234, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.8812112373611708}",-34.25281692729911,-38.89960229928029,-36.161498662814424,-37.61940906800499,-37.458163220173226,-36.878263752365264,1.5734512979067292,56,-36981.74865722388,-29442.823379870075,-11034.074284856564,-20323.472000833128,-25111.133132719846,-24578.618809319833,8710.510803318202,35,0.15960119948054985,0.5384733030219508,0.6216050503346744,0.42345850408177677,0.5574356048759271,0.4601089784939813,0.16330810554349992,41
2,6.432929801940918,0.12026936100334555,0.139323091506958,0.011651933134122612,0.5040383462487378,0.33382978766799953,8,2,100,0.2286804169460302,"{'colsample_bytree': 0.5040383462487378, 'learning_rate': 0.33382978766799953, 'max_depth': 8, 'min_child_weight': 2, 'n_estimators': 100, 'subsample': 0.2286804169460302}",-72.91878475118874,-74.50323835198533,-80.4347047435085,-73.36597699178876,-77.57500461418907,-75.75943455561877,2.8471679657693434,94,-48686.927687711875,-41140.14026242604,-29944.933504388042,-24626.50269521933,-38114.3479861344,-36502.475134663284,8445.4407233587,92,-0.10654094497869382,0.35504589610086323,-0.02703584854272645,0.300590673366104,0.3282708950099459,0.1700567807110927,0.19577921904083131,94
3,4.9796528816223145,0.2884529552950345,0.06420741081237794,0.007274606996735877,0.6079417018410721,0.32115427181337,3,4,100,0.6299888433439929,"{'colsample_bytree': 0.6079417018410721, 'learning_rate': 0.32115427181337, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 100, 'subsample': 0.6299888433439929}",-38.387813783831895,-38.2807838897574,-33.34864440083751,-34.480238635618235,-37.79523927609572,-36.4584649683007,2.1173265688513565,54,-43665.60322576428,-41137.411564890885,-8908.71270387194,-16433.49952078641,-31216.095970537106,-28272.09055014557,13610.942096725883,63,0.007480553819544267,0.35508826248042347,0.6944443709054093,0.5337211213919124,0.44981049840992915,0.4081064958973046,0.22927483055106687,59
4,4.1618931770324705,0.08496391488561933,0.1364530563354492,0.011445242097383174,0.23005053181460422,0.16496511344233716,7,4,100,0.299305337115452,"{'colsample_bytree': 0.23005053181460422, 'learning_rate': 0.16496511344233716, 'max_depth': 7, 'min_child_weight': 4, 'n_estimators': 100, 'subsample': 0.299305337115452}",-51.018490699403145,-53.19880317473531,-53.499538543060126,-51.36866088687687,-52.04608853688295,-52.22632702373332,0.9791830219371318,85,-40728.15911231068,-31552.95777154338,-13716.73423381226,-12346.260408951179,-24822.055401227466,-24633.222221916654,10743.729720455693,37,0.07425147296127654,0.5053684300162682,0.5295726562489851,0.6492866864015476,0.5625275830312999,0.4641955524282631,0.2009789812263172,37
5,8.647036170959472,0.1747790315575079,0.1767129421234131,0.008329938687843921,0.34749257418612334,0.10135764066621968,9,4,100,0.5170012910339006,"{'colsample_bytree': 0.34749257418612334, 'learning_rate': 0.10135764066621968, 'max_depth': 9, 'min_child_weight': 4, 'n_estimators': 100, 'subsample': 0.5170012910339006}",-35.60932005633978,-35.96545421915966,-34.88010593298233,-34.68031849109348,-34.81636400757846,-35.19033465024793,0.5045008211878126,48,-35985.649778753694,-26184.43477733511,-8902.817777093454,-10740.621500259274,-21202.08894321771,-20603.087142869514,10023.248981357818,4,0.18205296208121058,0.5895042316603074,0.6946473420502501,0.6953639794077876,0.6263139326930092,0.5575724256407623,0.19211739166347575,5
6,3.22170147895813,0.04909818355457475,0.06433839797973633,0.0019354721829393671,0.33741691921322287,0.01828022475165975,3,4,100,0.5119293857772546,"{'colsample_bytree': 0.33741691921322287, 'learning_rate': 0.01828022475165975, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 100, 'subsample': 0.5119293857772546}",-28.90934357063819,-32.60120323963712,-28.268644876956518,-28.424959820401483,-32.169681050522236,-30.074642654794236,1.9033376516032825,6,-42746.39057639066,-49261.15885494843,-12975.047114990095,-20135.87985015619,-42061.977241893066,-33435.58074266243,14192.306660573908,87,0.0311281733417893,0.23020608180426994,0.5574828602020492,0.42964323815962047,0.261528948664555,0.3020002530625619,0.17985393232889232,85
7,5.916558933258057,0.0887367102218858,0.1356506824493408,0.005732371263709237,0.2668499814807018,0.344760902548811,7,4,100,0.5458223496680964,"{'colsample_bytree': 0.2668499814807018, 'learning_rate': 0.344760902548811, 'max_depth': 7, 'min_child_weight': 4, 'n_estimators': 100, 'subsample': 0.5458223496680964}",-52.30814807855656,-54.14665041052129,-53.681632152824335,-52.911641296209616,-47.80647180148795,-52.17116678486842,2.271456084728594,84,-42801.00207615576,-31052.08870309223,-13523.657727669355,-18609.031999045223,-25436.104671396668,-26284.427187556757,10178.67215843552,49,0.027266347462162832,0.5131940331687741,0.5362828595276429,0.4719101824579822,0.5516889206040843,0.4200606868981224,0.19823706192292645,54
8,3.7076133251190186,0.09148034825038319,0.12806377410888672,0.06002892761106616,0.18987596789219816,0.2413113087479074,5,4,100,0.6533840074025815,"{'colsample_bytree': 0.18987596789219816, 'learning_rate': 0.2413113087479074, 'max_depth': 5, 'min_child_weight': 4, 'n_estimators': 100, 'subsample': 0.6533840074025815}",-42.37124982919349,-40.237836005532316,-38.479664710413374,-40.173723498287195,-39.75369764560429,-40.203260915593305,1.2550331223264874,69,-38995.942310432736,-34175.10549769252,-10214.450422139442,-14747.864336995546,-22641.065200129015,-24154.975054503826,11007.418799736624,32,0.11361724797199302,0.46424347831730006,0.6496788499337315,0.5819670810655475,0.6009983735004376,0.48209397663389614,0.19406095692860312,32
9,10.766199207305908,0.11849180323101628,0.09409151077270508,0.007265012375556255,0.7779004035913542,0.07425875263156753,5,4,100,0.8853697040987293,"{'colsample_bytree': 0.7779004035913542, 'learning_rate': 0.07425875263156753, 'max_depth': 5, 'min_child_weight': 4, 'n_estimators': 100, 'subsample': 0.8853697040987293}",-29.374366704296367,-31.632852269318413,-27.61476521861296,-29.087531202120644,-31.575598789206065,-29.85692122999737,1.5465898599677137,5,-39226.2539479838,-37925.16275250882,-6843.977008618616,-16015.387044893598,-30248.044149354628,-26051.51688565187,12663.835864452009,46,0.10865873352163191,0.40544871398384597,0.7653003404662604,0.5455505695892623,0.46687945061413794,0.4583670583898474,0.21306859310895712,44
